fips,state,county,total_population,senior_population,senior_share,living_alone_65_share,disability_share,median_income,diabetes_prev,chd_prev,copd_prev,poor_physical_health_prev,healthcare_support_workers,healthcare_support_per_1k_seniors,healthcare_support_wage,wage_geo_level,wage_year,wage_source
48217,TX,Hill County,37328.0,7620.0,0.2041363051864552,0.29015748031496064,0.18117766823831977,64591.0,14.2,7.8,8.4,15.5,572.0,75.06561679790026,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48219,TX,Hockley County,21363.0,3284.0,0.15372372794083228,0.2981120584652862,0.15671956185928942,63140.0,14.1,6.7,7.0,15.2,191.0,58.16077953714982,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48221,TX,Hood County,65894.0,16840.0,0.2555619631529426,0.2272565320665083,0.14142410538137007,88160.0,12.5,7.4,7.4,13.4,474.0,28.147268408551067,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48223,TX,Hopkins County,37784.0,7074.0,0.18722210459453736,0.24597116200169636,0.14397628625873385,70888.0,13.4,7.3,8.3,15.1,248.0,35.05795872208086,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48225,TX,Houston County,22051.0,4898.0,0.22212144573942225,0.2296855859534504,0.2141852977189243,56531.0,16.8,8.9,9.9,16.6,684.0,139.64883625969784,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48227,TX,Howard County,32290.0,4322.0,0.13384948900588417,0.2878297084683017,0.16218643542892536,69649.0,13.7,6.3,6.6,14.9,775.0,179.31513188338732,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48229,TX,Hudspeth County,3403.0,370.0,0.10872759330002939,0.3567567567567568,0.23743755509844255,48600.0,14.3,6.0,6.6,16.5,96.0,259.4594594594595,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48231,TX,Hunt County,108972.0,16897.0,0.1550581800829571,0.2278510978280168,0.15409462981316302,71938.0,12.3,6.5,7.4,14.4,1815.0,107.41551754749364,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48233,TX,Hutchinson County,20184.0,3624.0,0.17954815695600476,0.342439293598234,0.16042409829567975,67228.0,12.9,7.0,7.5,14.6,121.0,33.38852097130243,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48235,TX,Irion County,1409.0,309.0,0.21930447125621008,0.23624595469255663,0.12065294535131299,70357.0,13.4,7.3,7.2,14.1,30.0,97.08737864077669,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48237,TX,Jack County,8882.0,1497.0,0.168543120918712,0.25250501002004005,0.09659986489529385,68079.0,13.4,7.6,8.8,15.7,102.0,68.13627254509018,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48239,TX,Jackson County,15152.0,2994.0,0.19759767687434002,0.23814295257181028,0.1587249208025343,65414.0,14.7,7.8,8.2,15.5,163.0,54.442217768871075,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48241,TX,Jasper County,32727.0,6914.0,0.2112628716350414,0.27089962395140293,0.13890671311149816,56723.0,16.3,9.0,10.7,17.1,655.0,94.7353196413075,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48243,TX,Jeff Davis County,1865.0,632.0,0.3388739946380697,0.41930379746835444,0.16890080428954424,59286.0,21.2,12.3,11.6,18.2,0.0,0.0,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48245,TX,Jefferson County,253878.0,39263.0,0.1546530223178062,0.27282683442426714,0.14181614791356478,60026.0,15.6,7.0,7.8,15.1,4426.0,112.72699488067646,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48247,TX,Jim Hogg County,4727.0,453.0,0.0958324518722234,0.282560706401766,0.12566109583245189,42211.0,22.8,9.9,8.9,20.6,90.0,198.6754966887417,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48249,TX,Jim Wells County,38850.0,6319.0,0.16265122265122264,0.21902199715144802,0.16131274131274131,51896.0,18.0,7.6,6.9,17.2,1140.0,180.40829245133725,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48251,TX,Johnson County,195597.0,27436.0,0.1402680000204502,0.18778247557953054,0.1217707838054776,84859.0,11.9,5.9,6.6,13.5,3029.0,110.40239101909899,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48253,TX,Jones County,20304.0,3255.0,0.16031323877068557,0.23963133640552994,0.1291371158392435,59464.0,13.0,6.6,7.5,14.9,260.0,79.87711213517665,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48255,TX,Karnes County,14968.0,2268.0,0.15152324959914484,0.304673721340388,0.1594735435595938,60214.0,14.0,6.4,6.8,15.3,144.0,63.49206349206349,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48257,TX,Kaufman County,172604.0,18404.0,0.10662557067043638,0.1675179308845903,0.10993951472735279,89485.0,11.2,5.0,5.8,13.1,2245.0,121.98435122799393,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48259,TX,Kendall County,48567.0,9889.0,0.20361562377746206,0.1925371625037921,0.12071983033747194,114962.0,11.1,6.1,5.5,11.7,255.0,25.786227121043584,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48261,TX,Kenedy County,145.0,57.0,0.3931034482758621,0.12280701754385964,0.32413793103448274,38882.0,18.5,8.3,7.2,18.2,6.0,105.26315789473684,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48263,TX,Kent County,734.0,274.0,0.37329700272479566,0.3357664233576642,0.25340599455040874,72889.0,12.9,7.7,7.2,13.9,0.0,0.0,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48265,TX,Kerr County,53489.0,15544.0,0.29060180597879937,0.2610653628409676,0.1609115892987343,69395.0,14.7,8.7,8.4,14.8,1240.0,79.77354606278949,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48267,TX,Kimble County,4389.0,1371.0,0.31237183868762813,0.36032093362509116,0.22055137844611528,69455.0,16.6,9.9,10.1,16.5,28.0,20.423048869438368,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48269,TX,King County,211.0,65.0,0.3080568720379147,0.2,0.18009478672985782,46645.0,16.8,10.4,10.8,17.5,0.0,0.0,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48271,TX,Kinney County,3157.0,836.0,0.26480836236933797,0.22009569377990432,0.22743110547988596,70000.0,15.8,8.6,7.5,15.2,126.0,150.71770334928232,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48273,TX,Kleberg County,30579.0,4052.0,0.13250923836619902,0.18336623889437315,0.1286830831616469,61292.0,14.0,6.0,5.5,14.5,622.0,153.50444225074037,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48275,TX,Knox County,3307.0,619.0,0.1871787118234049,0.27463651050080773,0.16843060175385546,56667.0,15.6,8.2,8.7,16.1,84.0,135.702746365105,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48283,TX,La Salle County,6839.0,1097.0,0.16040356777306625,0.1340018231540565,0.1190232490130136,57716.0,15.5,6.9,6.8,16.8,68.0,61.987237921604375,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
